id,garden_points_status,commitment_months,participation_history,project_focus_code,requested_resources_value,personal_reserve_status,volunteer_tenure_bracket,time_commitment_rate,household_profile,co_sponsor_presence,years_in_neighborhood_bracket,asset_contribution_type,member_age,other_support_plans,housing_situation,existing_commitments_count,role_skill_tier,dependents_supported,has_phone,newcomer_status,support_outcome
109,Points negative,24.0,Previous roles completed,Workshop equipment,7721.0,No reserve,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Long-term fund,30.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Local resident,good
10,Points 0–199,30.0,Issues on prior roles,Transport (new),5234.0,Reserve: <100,unemployed,4.0,Committed/shared household,No co-sponsor,2.0,Shared tools,28.0,None,Own housing,2.0,Highly skilled / lead,1.0,No phone,Newcomer,bad
963,No points account,15.0,Previous roles completed,Transport (new),3556.0,No reserve,1<=X<4,3.0,Single adult,No co-sponsor,2.0,No tangible assets,29.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
626,No points account,15.0,Previous roles completed,Communications equipment,1979.0,No reserve,>=7,4.0,Single adult,No co-sponsor,2.0,Shared tools,35.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
769,Points 0–199,12.0,Issues on prior roles,Workshop equipment,3617.0,Reserve: <100,>=7,1.0,Single adult,No co-sponsor,4.0,Shared tools,28.0,None,Rented housing,3.0,Skilled volunteer,1.0,Has phone,Newcomer,good
721,Points 200+,9.0,No prior roles / all on time,Communications equipment,1337.0,Reserve: <100,<1,4.0,Single adult,No co-sponsor,2.0,Shared tools,34.0,None,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,bad
526,Points 0–199,26.0,Previous roles completed,Transport (used),7966.0,Reserve: <100,<1,2.0,Single adult,No co-sponsor,3.0,Shared tools,30.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
674,No points account,6.0,Issues on prior roles,Transport (new),2080.0,Reserve: 500–999,1<=X<4,1.0,Committed/shared household,No co-sponsor,2.0,Shared tools,24.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
680,No points account,18.0,Previous roles completed,Communications equipment,1453.0,Reserve: <100,<1,3.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,26.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
190,Points 0–199,18.0,No prior roles / all on time,Workshop equipment,3244.0,Reserve: <100,1<=X<4,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,33.0,Partner bank,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
153,Points 200+,36.0,Previous roles completed,Communications equipment,5848.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,1.0,Shared tools,24.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
591,Points negative,12.0,Issues on prior roles,Communications equipment,385.0,Reserve: <100,4<=X<7,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Community plot share,58.0,None,Own housing,4.0,Unskilled resident,1.0,Has phone,Newcomer,good
602,Points 0–199,9.0,Previous roles completed,Workshop equipment,918.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Long-term fund,30.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
133,No points account,15.0,Previous roles completed,Workshop equipment,2708.0,Reserve: <100,<1,2.0,Single adult,No co-sponsor,3.0,Long-term fund,27.0,Partner bank,Own housing,2.0,Unskilled resident,1.0,No phone,Newcomer,good
530,Points negative,6.0,Previous roles completed,Transport (new),662.0,Reserve: <100,<1,3.0,Single adult,No co-sponsor,4.0,Community plot share,41.0,None,Own housing,1.0,Unskilled resident,2.0,Has phone,Newcomer,good
567,Points negative,12.0,Previous roles completed,Transport (new),1372.0,Reserve: <100,4<=X<7,2.0,Recently separated household,No co-sponsor,3.0,Shared tools,36.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
889,No points account,36.0,Issues on prior roles,Transport (new),6614.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,34.0,None,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
790,Points negative,40.0,Issues on prior roles,Training / education,5998.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,3.0,No tangible assets,27.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
731,Points 0–199,24.0,Delayed in prior commitments,Communications equipment,6403.0,Reserve: <100,<1,1.0,Single adult,No co-sponsor,2.0,Shared tools,33.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
20,No points account,24.0,Previous roles completed,Communications equipment,3430.0,Reserve: 500–999,>=7,3.0,Single adult,No co-sponsor,2.0,Shared tools,31.0,None,Own housing,1.0,Skilled volunteer,2.0,Has phone,Newcomer,good
713,No points account,21.0,Previous roles completed,Transport (used),2476.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,46.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
694,Points negative,6.0,Issues on prior roles,Transport (new),4716.0,No reserve,<1,1.0,Single adult,No co-sponsor,3.0,Community plot share,44.0,None,Own housing,2.0,Unskilled resident,2.0,No phone,Newcomer,good
366,No points account,12.0,Previous roles completed,Microenterprise support,1542.0,Reserve: <100,4<=X<7,2.0,Single adult,No co-sponsor,4.0,Shared tools,36.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
717,No points account,30.0,Issues on prior roles,Communications equipment,3077.0,No reserve,>=7,3.0,Single adult,No co-sponsor,2.0,Shared tools,40.0,None,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,good
587,Points negative,9.0,Issues on prior roles,Transport (new),2799.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,36.0,None,Rented housing,2.0,Skilled volunteer,2.0,No phone,Newcomer,good
342,Points negative,21.0,Previous roles completed,Workshop equipment,3599.0,Reserve: <100,4<=X<7,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,26.0,None,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
631,Points negative,24.0,Previous roles completed,Communications equipment,3660.0,Reserve: <100,1<=X<4,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,28.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
17,No points account,24.0,Issues on prior roles,Communications equipment,2424.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,Long-term fund,53.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
15,Points negative,15.0,Previous roles completed,Transport (new),1403.0,Reserve: <100,1<=X<4,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,28.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
616,Points 0–199,48.0,No prior roles / all on time,Microenterprise support,12204.0,No reserve,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Shared tools,48.0,Partner bank,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
816,Points 0–199,36.0,Delayed in prior commitments,Transport (new),7432.0,Reserve: <100,1<=X<4,2.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Long-term fund,54.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
559,Points negative,24.0,All roles on time,Workshop equipment,3552.0,Reserve: <100,4<=X<7,3.0,Single adult,No co-sponsor,4.0,Shared tools,27.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
178,Points negative,6.0,Issues on prior roles,Communications equipment,338.0,Reserve: 500–999,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,52.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
244,No points account,12.0,Issues on prior roles,Microenterprise support,1185.0,Reserve: <100,1<=X<4,3.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Community plot share,27.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
977,Points 0–199,6.0,Previous roles completed,Communications equipment,753.0,Reserve: <100,1<=X<4,2.0,Adult w/ dependents or shared household,Mentor sponsor,3.0,Community plot share,64.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
69,No points account,36.0,Previous roles completed,Training / education,1819.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,4.0,No tangible assets,37.0,Partner stores,Hosted / no rent,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
316,Points negative,36.0,All roles on time,Workshop equipment,2746.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,31.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
435,Points negative,9.0,Previous roles completed,Workshop equipment,2136.0,Reserve: <100,1<=X<4,3.0,Single adult,No co-sponsor,2.0,Community plot share,25.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
470,No points account,24.0,Delayed in prior commitments,Transport (used),4679.0,Reserve: <100,4<=X<7,3.0,Single adult,No co-sponsor,3.0,Shared tools,35.0,None,Own housing,2.0,Unskilled resident,1.0,Has phone,Newcomer,good
83,No points account,18.0,Previous roles completed,Microenterprise support,1568.0,Reserve: 100–499,1<=X<4,3.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,24.0,None,Rented housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
754,No points account,30.0,Issues on prior roles,Communications equipment,5771.0,Reserve: <100,4<=X<7,4.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,25.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
226,No points account,36.0,No prior roles / all on time,Plot repairs,2613.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,27.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
992,No points account,15.0,All roles on time,Communications equipment,1569.0,Reserve: 100–499,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,34.0,Partner bank,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,good
410,Points 200+,12.0,Issues on prior roles,Transport (new),939.0,Reserve: 500–999,4<=X<7,4.0,Committed/shared household,No co-sponsor,2.0,Community plot share,28.0,None,Own housing,3.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
280,No points account,24.0,Previous roles completed,Communications equipment,1901.0,Reserve: 100–499,1<=X<4,4.0,Single adult,No co-sponsor,4.0,Shared tools,29.0,None,Rented housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
930,Points negative,12.0,Delayed in prior commitments,Transport (new),1344.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Community plot share,43.0,None,Own housing,2.0,Unskilled resident,2.0,No phone,Newcomer,good
646,No points account,36.0,Delayed in prior commitments,Microenterprise support,7980.0,No reserve,<1,4.0,Single adult,No co-sponsor,4.0,Shared tools,27.0,None,Rented housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
276,No points account,9.0,Previous roles completed,Communications equipment,2697.0,Reserve: <100,1<=X<4,1.0,Single adult,No co-sponsor,2.0,Community plot share,32.0,None,Own housing,1.0,Skilled volunteer,2.0,No phone,Newcomer,good
451,No points account,36.0,Issues on prior roles,Transport (used),11054.0,No reserve,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,30.0,None,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
485,No points account,12.0,Issues on prior roles,Transport (new),1163.0,Reserve: 500–999,1<=X<4,4.0,Single adult,No co-sponsor,4.0,Community plot share,44.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
870,Points negative,12.0,Previous roles completed,Workshop equipment,652.0,Reserve: <100,>=7,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,24.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
317,Points negative,12.0,Previous roles completed,Workshop equipment,708.0,Reserve: <100,1<=X<4,2.0,Single adult,Mentor sponsor,3.0,Long-term fund,38.0,None,Own housing,1.0,Unskilled resident,2.0,No phone,Newcomer,good
81,No points account,24.0,Previous roles completed,Communications equipment,5943.0,No reserve,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Shared tools,44.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
540,Points 200+,18.0,Previous roles completed,Workshop equipment,3049.0,Reserve: <100,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Long-term fund,45.0,Partner stores,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
250,No points account,18.0,Previous roles completed,Communications equipment,433.0,Reserve: <100,unemployed,3.0,Adult w/ dependents or shared household,Co-gardener sponsor,4.0,Community plot share,22.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
661,Points 200+,12.0,Previous roles completed,Communications equipment,1297.0,Reserve: <100,1<=X<4,3.0,Committed/shared household,No co-sponsor,4.0,Community plot share,23.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
253,Points 0–199,30.0,Previous roles completed,Transport (new),2150.0,Reserve: <100,1<=X<4,4.0,Adult w/ dependents or shared household,Mentor sponsor,2.0,No tangible assets,24.0,Partner bank,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
35,Points 200+,12.0,Previous roles completed,Workshop equipment,1474.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Long-term fund,33.0,Partner bank,Own housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
291,No points account,12.0,Previous roles completed,Microenterprise support,1076.0,Reserve: <100,1<=X<4,2.0,Committed/shared household,No co-sponsor,2.0,Community plot share,26.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Local resident,good
184,No points account,24.0,Issues on prior roles,Workshop equipment,3777.0,Reserve: ≥1000,1<=X<4,4.0,Single adult,No co-sponsor,4.0,Community plot share,50.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
516,Points negative,6.0,Issues on prior roles,Transport (new),609.0,Reserve: <100,4<=X<7,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Long-term fund,37.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Local resident,good
89,Points negative,18.0,Previous roles completed,Transport (new),2249.0,Reserve: 100–499,4<=X<7,4.0,Single adult,No co-sponsor,3.0,Shared tools,30.0,None,Own housing,1.0,Highly skilled / lead,2.0,Has phone,Newcomer,good
864,No points account,27.0,Issues on prior roles,Workshop equipment,4526.0,Reserve: ≥1000,<1,4.0,Single adult,No co-sponsor,2.0,Community plot share,32.0,Partner stores,Own housing,2.0,Unskilled resident,2.0,Has phone,Newcomer,good
404,No points account,14.0,Delayed in prior commitments,Transport (new),802.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,27.0,None,Own housing,2.0,Unskilled resident,1.0,No phone,Newcomer,good
144,Points negative,18.0,Previous roles completed,Workshop equipment,2462.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Shared tools,22.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
249,Points 200+,24.0,Previous roles completed,Workshop equipment,1925.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,26.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
906,Points negative,12.0,Previous roles completed,Communications equipment,1107.0,Reserve: <100,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Community plot share,20.0,None,Rented housing,1.0,Highly skilled / lead,2.0,Has phone,Newcomer,good
840,No points account,24.0,Issues on prior roles,Communications equipment,2611.0,Reserve: <100,>=7,4.0,Committed/shared household,Co-gardener sponsor,3.0,Community plot share,46.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
576,No points account,15.0,Issues on prior roles,Workshop equipment,2788.0,Reserve: <100,4<=X<7,2.0,Adult w/ dependents or shared household,Co-gardener sponsor,3.0,Shared tools,24.0,Partner bank,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
33,Points 0–199,18.0,Previous roles completed,Transport (new),5866.0,Reserve: 100–499,1<=X<4,2.0,Single adult,No co-sponsor,2.0,Shared tools,30.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
72,No points account,7.0,Issues on prior roles,Communications equipment,730.0,No reserve,>=7,4.0,Single adult,No co-sponsor,2.0,Long-term fund,46.0,None,Rented housing,2.0,Unskilled resident,1.0,Has phone,Newcomer,good
862,No points account,18.0,Delayed in prior commitments,Microenterprise support,2169.0,Reserve: <100,1<=X<4,4.0,Committed/shared household,No co-sponsor,2.0,Shared tools,28.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
709,Points 0–199,9.0,Previous roles completed,Communications equipment,1206.0,Reserve: <100,>=7,4.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,25.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
223,No points account,12.0,Previous roles completed,Communications equipment,707.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Community plot share,30.0,Partner bank,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
799,No points account,24.0,Delayed in prior commitments,Transport (new),717.0,No reserve,>=7,4.0,Committed/shared household,No co-sponsor,4.0,Shared tools,54.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
94,Points 200+,24.0,Issues on prior roles,Workshop equipment,3617.0,No reserve,>=7,4.0,Single adult,Co-gardener sponsor,4.0,No tangible assets,20.0,None,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
50,No points account,12.0,Previous roles completed,Communications equipment,2073.0,Reserve: 100–499,1<=X<4,4.0,Adult w/ dependents or shared household,Co-gardener sponsor,2.0,Community plot share,28.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
91,No points account,12.0,Issues on prior roles,Communications equipment,618.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,56.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
691,Points negative,15.0,Issues on prior roles,Workshop equipment,975.0,Reserve: <100,1<=X<4,2.0,Recently separated household,No co-sponsor,3.0,Long-term fund,25.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
996,No points account,12.0,Previous roles completed,Workshop equipment,1736.0,Reserve: <100,4<=X<7,3.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Community plot share,31.0,None,Own housing,1.0,Unskilled resident,1.0,No phone,Newcomer,good
923,Points negative,9.0,Previous roles completed,Communications equipment,1366.0,Reserve: <100,<1,3.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,22.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,bad
893,Points negative,12.0,Issues on prior roles,Transport (new),2171.0,Reserve: <100,1<=X<4,4.0,Single adult,No co-sponsor,4.0,Long-term fund,38.0,Partner bank,Own housing,2.0,Unskilled resident,1.0,No phone,Local resident,good
267,No points account,36.0,Issues on prior roles,Microenterprise support,6304.0,No reserve,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,36.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
177,Points negative,12.0,Previous roles completed,Workshop equipment,2577.0,Reserve: <100,1<=X<4,2.0,Recently separated household,No co-sponsor,1.0,Shared tools,42.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
578,No points account,24.0,Issues on prior roles,Training / education,1927.0,No reserve,1<=X<4,3.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,33.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
913,Points 0–199,30.0,Previous roles completed,Communications equipment,2991.0,No reserve,>=7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,25.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
887,Points 0–199,24.0,Issues on prior roles,Microenterprise support,2825.0,No reserve,4<=X<7,4.0,Single adult,No co-sponsor,3.0,No tangible assets,34.0,None,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,good
500,Points 200+,6.0,Issues on prior roles,Transport (new),1323.0,Reserve: 100–499,>=7,2.0,Recently separated household,No co-sponsor,4.0,Shared tools,28.0,None,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,good
327,No points account,12.0,Issues on prior roles,Workshop equipment,5801.0,No reserve,>=7,2.0,Single adult,No co-sponsor,4.0,Long-term fund,49.0,None,Rented housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
787,No points account,22.0,Previous roles completed,Communications equipment,2675.0,Reserve: 500–999,>=7,3.0,Single adult,No co-sponsor,4.0,Shared tools,40.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
286,Points negative,47.0,Previous roles completed,Transport (new),10722.0,Reserve: <100,<1,1.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,35.0,None,Own housing,1.0,Unskilled resident,1.0,Has phone,Newcomer,good
87,Points 0–199,18.0,Issues on prior roles,Workshop equipment,1295.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Long-term fund,27.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
782,No points account,24.0,Issues on prior roles,Transport (new),1940.0,Reserve: ≥1000,>=7,4.0,Single adult,No co-sponsor,4.0,Community plot share,60.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
645,Points negative,18.0,Issues on prior roles,Communications equipment,1880.0,Reserve: <100,4<=X<7,4.0,Committed/shared household,No co-sponsor,1.0,Long-term fund,32.0,None,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
74,Points 0–199,42.0,Issues on prior roles,Microenterprise support,5954.0,Reserve: <100,4<=X<7,2.0,Adult w/ dependents or shared household,No co-sponsor,1.0,Community plot share,41.0,Partner bank,Own housing,2.0,Unskilled resident,1.0,No phone,Newcomer,good
885,Points 0–199,24.0,Previous roles completed,Workshop equipment,4057.0,Reserve: <100,4<=X<7,3.0,Recently separated household,No co-sponsor,3.0,Shared tools,43.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
926,Points negative,12.0,All roles on time,Transport (new),697.0,Reserve: <100,<1,4.0,Single adult,No co-sponsor,2.0,Shared tools,46.0,Partner bank,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,bad
531,Points 0–199,36.0,Previous roles completed,Training / education,2273.0,Reserve: <100,4<=X<7,3.0,Single adult,No co-sponsor,1.0,Shared tools,32.0,None,Own housing,2.0,Skilled volunteer,2.0,No phone,Newcomer,good
320,Points negative,15.0,Delayed in prior commitments,Workshop equipment,3643.0,Reserve: <100,>=7,1.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,27.0,None,Own housing,2.0,Unskilled resident,1.0,No phone,Newcomer,good
422,Points 0–199,12.0,Previous roles completed,Transport (used),2028.0,No reserve,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,30.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
469,No points account,33.0,Delayed in prior commitments,Microenterprise support,2764.0,Reserve: <100,1<=X<4,2.0,Adult w/ dependents or shared household,No co-sponsor,2.0,Shared tools,26.0,None,Own housing,2.0,Skilled volunteer,1.0,Has phone,Newcomer,good
312,No points account,24.0,Previous roles completed,Workshop equipment,5511.0,Reserve: 100–499,1<=X<4,4.0,Single adult,No co-sponsor,1.0,Shared tools,25.0,Partner stores,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
175,Points negative,21.0,Delayed in prior commitments,Training / education,3414.0,Reserve: <100,<1,2.0,Single adult,No co-sponsor,1.0,Long-term fund,26.0,None,Own housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,bad
28,Points 200+,12.0,All roles on time,Communications equipment,409.0,Reserve: ≥1000,1<=X<4,3.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Community plot share,42.0,None,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,good
497,Points 0–199,36.0,Previous roles completed,Workshop equipment,9034.0,Reserve: 100–499,<1,4.0,Single adult,Co-gardener sponsor,1.0,No tangible assets,29.0,None,Rented housing,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,bad
421,No points account,15.0,Previous roles completed,Transport (new),3186.0,Reserve: ≥1000,4<=X<7,2.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Shared tools,20.0,None,Rented housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
989,Points negative,24.0,Previous roles completed,Transport (used),6579.0,Reserve: <100,unemployed,4.0,Single adult,No co-sponsor,2.0,No tangible assets,29.0,None,Hosted / no rent,1.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
711,No points account,18.0,Issues on prior roles,Communications equipment,629.0,Reserve: 500–999,>=7,4.0,Single adult,No co-sponsor,3.0,Long-term fund,32.0,Partner bank,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
287,Points negative,48.0,Previous roles completed,Transport (used),4788.0,Reserve: <100,4<=X<7,4.0,Single adult,No co-sponsor,3.0,Long-term fund,26.0,None,Own housing,1.0,Skilled volunteer,2.0,No phone,Newcomer,good
412,No points account,33.0,Issues on prior roles,Transport (used),7253.0,Reserve: <100,4<=X<7,3.0,Single adult,No co-sponsor,2.0,Shared tools,35.0,None,Own housing,2.0,Highly skilled / lead,1.0,Has phone,Newcomer,good
395,No points account,9.0,Issues on prior roles,Workshop equipment,2406.0,Reserve: <100,unemployed,2.0,Single adult,No co-sponsor,3.0,Shared tools,31.0,None,Own housing,1.0,Highly skilled / lead,1.0,No phone,Newcomer,good
68,Points 0–199,12.0,Previous roles completed,Transport (new),1007.0,Reserve: ≥1000,1<=X<4,4.0,Committed/shared household,No co-sponsor,1.0,Community plot share,22.0,None,Own housing,1.0,Skilled volunteer,1.0,No phone,Newcomer,good
831,No points account,24.0,Delayed in prior commitments,Microenterprise support,2375.0,Reserve: 500–999,1<=X<4,4.0,Single adult,No co-sponsor,2.0,Shared tools,44.0,None,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,good
708,Points 0–199,12.0,No prior roles / all on time,Workshop equipment,2969.0,Reserve: <100,<1,4.0,Adult w/ dependents or shared household,No co-sponsor,3.0,Long-term fund,25.0,None,Rented housing,2.0,Skilled volunteer,1.0,No phone,Newcomer,bad
480,Points negative,15.0,Issues on prior roles,Workshop equipment,1478.0,Reserve: <100,>=7,4.0,Single adult,No co-sponsor,4.0,Shared tools,44.0,None,Own housing,2.0,Skilled volunteer,2.0,Has phone,Newcomer,good
791,Points 0–199,21.0,Previous roles completed,Microenterprise support,1188.0,Reserve: <100,>=7,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Long-term fund,39.0,None,Own housing,1.0,Skilled volunteer,2.0,No phone,Newcomer,bad
734,No points account,24.0,Previous roles completed,Transport (used),2603.0,Reserve: ≥1000,1<=X<4,2.0,Adult w/ dependents or shared household,No co-sponsor,4.0,Shared tools,28.0,None,Rented housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
519,Points negative,6.0,Previous roles completed,Transport (new),1203.0,Reserve: 100–499,>=7,3.0,Single adult,No co-sponsor,2.0,Long-term fund,43.0,None,Own housing,1.0,Skilled volunteer,1.0,Has phone,Newcomer,good
